customer_id,customer_name,segment,registration_date,avg_order_value,order_frequency_monthly,total_orders,customer_lifetime_value,preferred_delivery_time,location_type
CUST_0001,Morgan-Schwartz,high_value,2025-01-08,317.47,18.0,12,68629.91,afternoon,commercial
CUST_0002,Phelps-Villarreal,low_value,2024-06-25,42.73,1.3,0,688.87,evening,commercial
CUST_0003,Sims-Clay,low_value,2024-09-12,27.13,1.7,2,566.16,evening,commercial
CUST_0004,"Johnson, Jones and Welch",medium_value,2025-07-25,147.33,10.2,11,18121.28,evening,industrial
CUST_0005,Francis Group,low_value,2025-09-05,13.35,5.6,6,889.68,morning,residential
CUST_0006,"Padilla, Garcia and Jackson",low_value,2024-04-27,55.42,2.6,1,1716.41,afternoon,industrial
CUST_0007,Williams Inc,medium_value,2024-04-23,89.36,12.2,15,13134.23,morning,commercial
CUST_0008,Jordan-Sanchez,low_value,2024-07-18,31.58,2.8,4,1047.62,evening,residential
CUST_0009,"Sparks, Jackson and Miller",medium_value,2025-06-18,64.81,17.2,16,13356.17,morning,commercial
CUST_0010,"Vega, Jimenez and Aguilar",low_value,2024-03-09,52.47,7.7,6,4823.56,morning,residential
CUST_0011,"King, Scott and Smith",low_value,2025-05-01,53.43,7.1,8,4520.34,morning,commercial
CUST_0012,Byrd-Moore,high_value,2024-08-09,349.61,16.4,22,68690.25,afternoon,commercial
CUST_0013,Huerta-Evans,medium_value,2025-08-24,51.58,17.4,11,10744.47,morning,commercial
CUST_0014,"Wright, Bruce and Gonzalez",low_value,2024-06-28,43.17,7.1,9,3677.77,morning,commercial
CUST_0015,Rodriguez-James,low_value,2024-06-10,10.19,2.8,4,345.2,morning,commercial
CUST_0016,Haney-Phillips,medium_value,2025-09-04,80.39,13.1,20,12644.24,evening,residential
CUST_0017,"Foster, Smith and Grimes",medium_value,2025-04-12,147.11,19.7,20,34755.98,evening,commercial
CUST_0018,Lozano Ltd,medium_value,2024-09-18,147.2,7.1,5,12615.59,evening,commercial
CUST_0019,Parsons-Hall,low_value,2025-04-29,44.53,4.8,6,2578.4,morning,industrial
CUST_0020,Fields PLC,medium_value,2024-03-22,76.51,13.6,15,12448.1,morning,commercial
CUST_0021,"Saunders, Becker and Taylor",medium_value,2023-12-01,135.88,14.8,13,24094.35,afternoon,residential
CUST_0022,"Lucas, Parker and Alexander",medium_value,2024-11-18,51.56,9.8,18,6047.78,evening,residential
CUST_0023,"Anderson, Browning and Murphy",low_value,2024-07-21,25.2,2.9,4,863.66,afternoon,commercial
CUST_0024,Anderson PLC,high_value,2025-06-22,323.26,17.3,8,67214.83,evening,industrial
CUST_0025,Schmidt-Mcintyre,medium_value,2025-05-20,80.84,18.2,23,17609.63,afternoon,residential
CUST_0026,Sloan-Raymond,low_value,2025-08-28,25.03,2.0,2,614.96,morning,commercial
CUST_0027,Francis-Morgan,medium_value,2023-12-15,78.89,7.6,7,7178.82,evening,industrial
CUST_0028,Taylor and Sons,low_value,2025-06-10,24.8,2.7,2,807.48,morning,residential
CUST_0029,"Craig, Sanders and Singleton",medium_value,2024-11-01,110.54,15.6,24,20669.93,morning,commercial
CUST_0030,Gibbs Inc,medium_value,2024-04-02,71.26,10.6,20,9077.43,evening,commercial
CUST_0031,Gibson Ltd,medium_value,2025-03-21,88.36,5.2,5,5551.45,evening,residential
CUST_0032,Richards-Carson,medium_value,2025-08-08,56.41,8.4,8,5682.45,afternoon,commercial
CUST_0033,Leonard Group,medium_value,2023-10-10,83.59,7.0,9,7035.29,afternoon,residential
CUST_0034,"Murphy, Bishop and Holland",medium_value,2024-12-28,132.13,12.7,16,20100.74,evening,residential
CUST_0035,Blankenship-Turner,medium_value,2024-07-16,116.76,15.6,22,21830.74,evening,residential
CUST_0036,Williams Inc,medium_value,2024-05-01,75.05,6.2,10,5585.07,evening,industrial
CUST_0037,Wilson-Young,high_value,2024-10-18,303.27,26.9,26,97868.22,evening,commercial
CUST_0038,Chavez-Santiago,low_value,2025-03-17,31.27,5.2,7,1961.66,morning,commercial
CUST_0039,"Barnes, Newton and Moore",medium_value,2024-07-20,90.4,5.2,3,5687.24,evening,industrial
CUST_0040,Bass PLC,medium_value,2024-07-15,73.58,10.0,8,8796.37,morning,residential
CUST_0041,Johnson-Wood,medium_value,2024-08-10,90.37,10.9,17,11867.08,morning,commercial
CUST_0042,Foley Inc,low_value,2025-09-07,12.47,7.2,13,1081.46,morning,commercial
CUST_0043,Stephens-Levine,medium_value,2024-06-09,79.63,11.2,17,10727.83,morning,residential
