order_id,customer_segment,latitude,longitude,package_weight,package_volume,service_time,order_value,customer_loyalty,time_sensitivity,priority,time_window_start,time_window_end,delivery_date
ORD_0001,medium_value,-23.650464888431422,-46.68487673445295,8.83,5.999,24.4,141.09,0.591,0.754,medium,11,15,2025-08-25
ORD_0002,medium_value,-23.541259622422295,-46.66799554499349,6.17,3.713,15.3,112.53,0.624,0.7,medium,14,18,2025-08-26
ORD_0003,high_value,-23.61941117977218,-46.58653098961411,29.61,8.963,46.6,469.28,0.968,0.995,high,15,18,2025-09-09
ORD_0004,low_value,-23.4446411164184,-46.70732742910087,4.18,2.233,8.1,70.67,0.36,0.158,low,12,14,2025-10-18
ORD_0005,low_value,-23.459521665489884,-46.642266392153964,0.89,0.612,5.1,38.69,0.362,0.363,low,8,12,2025-09-30
ORD_0006,low_value,-23.52356294048116,-46.72724812281278,3.26,2.186,10.3,59.2,0.326,0.55,low,14,18,2025-10-07
ORD_0007,low_value,-23.69205240669137,-46.53551277277889,3.73,1.224,6.7,78.81,0.237,0.589,low,9,11,2025-08-29
ORD_0008,medium_value,-23.456409900008634,-46.55610707756413,4.94,1.747,11.3,112.42,0.407,0.66,medium,14,17,2025-08-23
ORD_0009,medium_value,-23.52098069382916,-46.60206127565883,4.36,1.673,12.2,107.42,0.636,0.789,medium,9,13,2025-09-09
ORD_0010,medium_value,-23.559449340735387,-46.780993393393665,6.17,3.277,18.9,101.17,0.617,0.622,medium,13,18,2025-09-20
ORD_0011,medium_value,-23.526682869386036,-46.71737718898986,3.41,1.149,10.1,64.13,0.702,0.728,medium,15,18,2025-09-12
ORD_0012,high_value,-23.63760126631137,-46.43830044195827,8.75,4.753,18.3,220.27,0.732,0.888,high,15,18,2025-10-19
ORD_0013,medium_value,-23.59891471308872,-46.62777439017133,8.0,5.519,14.6,120.4,0.77,0.714,medium,10,16,2025-09-07
ORD_0014,low_value,-23.68237776664973,-46.64137288828921,3.51,1.504,8.2,43.42,0.347,0.283,low,10,18,2025-10-13
ORD_0015,low_value,-23.33840064341549,-46.53551524353457,1.38,0.756,5.8,43.2,0.296,0.329,low,9,11,2025-08-29
ORD_0016,medium_value,-23.808675760257525,-46.716552087290395,8.39,4.363,24.8,179.06,0.617,0.579,medium,15,18,2025-08-26
ORD_0017,medium_value,-23.402054090717428,-46.76477734507194,6.14,2.258,12.8,124.22,0.74,0.652,medium,15,18,2025-09-21
ORD_0018,medium_value,-23.558551151750258,-46.718644092006805,6.18,4.067,18.7,161.54,0.794,0.639,medium,15,18,2025-09-26
